COUNTRY_NAME,POC,Vendedor,Frequência_de_Visita,Dia_da_Visita,Semana_da_Visita,AVG_LATITUDE,AVG_LONGITUDE,Número_de_Compras,Faturamento_Mensal_USD,Faturamento_Mensal_USD_(formatado),Visita_Semanal,Semana_1,Semana_2,Semana_3,Semana_4,Dia_da_Semana,Quartil_Faturamento
EC,11802893,ECECB614,2,4,1.0,-1.11644056667,-80.4038801,5,655.51,$655.51,0.5,1,0,0,0,qua,Q3
EC,11803224,ECECB011,2,5,1.0,-3.55324463333,-80.06451306667,6,808.2,$808.20,0.5,1,0,0,0,qui,Q3
EC,11803330,ECECB276,2,4,1.0,-2.7401257,-78.84556993333,8,584.77,$584.77,0.5,1,0,0,0,qua,Q2
EC,11803418,ECECB274,2,5,2.0,-2.8065716,-78.77360555,3,777.05,$777.05,0.5,0,1,0,0,qui,Q3
EC,11803517,ECECB282,4,3,CMPL,-2.7428445,-78.849739625,8,103820.37,"$103,820.37",1.0,1,1,1,1,ter,Q4
EC,11803593,ECECB519,2,3,1.0,-2.0886253,-79.9380596,8,878.73,$878.73,0.5,1,0,0,0,ter,Q3
EC,11803610,ECECB173,2,7,2.0,-2.77977465,-78.7600336,3,998.92,$998.92,0.5,0,1,0,0,sab,Q3
EC,11803743,ECECB276,1,5,3.0,-2.7468381,-78.845641,6,270.65,$270.65,0.25,0,0,1,0,qui,Q1
EC,11803757,ECECB173,2,4,1.0,-2.7433719,-78.85195376667,7,489.39,$489.39,0.5,1,0,0,0,qua,Q2
EC,11803906,ECECB235,1,6,2.0,-2.2535349,-79.8912853,8,554.47,$554.47,0.25,0,1,0,0,sex,Q2
EC,11803980,ECECBA07,2,7,1.0,-2.98273305,-79.6853129,4,450.71,$450.71,0.5,1,0,0,0,sab,Q2
EC,11804009,ECECB584,2,5,2.0,-1.78233885,-79.6830847,7,548.67,$548.67,0.5,0,1,0,0,qui,Q2
EC,11804014,ECECB584,2,6,1.0,-1.70902133333,-79.3958157,3,873.25,$873.25,0.5,1,0,0,0,sex,Q3
EC,11804030,ECECB584,1,6,1.0,-1.7070165,-79.3927603,3,819.57,$819.57,0.25,1,0,0,0,sex,Q3
EC,11804079,ECECB224,2,3,2.0,-2.1557265,-79.92296505,3,1967.49,"$1,967.49",0.5,0,1,0,0,ter,Q4
EC,11804100,ECECB003,4,3,CMPL,-2.1319554,-79.8813229,5,304.5,$304.50,1.0,1,1,1,1,ter,Q1
EC,11804130,ECECB510,2,3,2.0,-2.25648845,-79.9013796,5,473.62,$473.62,0.5,0,1,0,0,ter,Q2
EC,11804150,ECECB251,4,5,CMPL,-2.22656524,-79.92712388,10,1202.17,"$1,202.17",1.0,1,1,1,1,qui,Q4
EC,11804195,ECECB256,2,2,2.0,-2.21741736667,-79.9297927,3,399.03,$399.03,0.5,0,1,0,0,seg,Q2
EC,11804339,ECECB584,2,5,1.0,-1.78404903333,-79.67961216667,7,8654.81,"$8,654.81",0.5,1,0,0,0,qui,Q4
EC,11804355,ECECB584,2,2,1.0,-1.67790743333,-79.6445138,5,283.82,$283.82,0.5,1,0,0,0,seg,Q1
EC,11804382,ECECB516,2,3,1.0,-2.09855485,-79.9052163,5,520.48,$520.48,0.5,1,0,0,0,ter,Q2
EC,11804384,ECECB192,2,3,1.0,-1.72538145,-79.7108116,5,752.88,$752.88,0.5,1,0,0,0,ter,Q3
EC,11804401,ECECB584,4,2,CMPL,-1.677323025,-79.644639975,3,331.71,$331.71,1.0,1,1,1,1,seg,Q1
EC,11804463,ECECB584,2,5,1.0,-1.78547946667,-79.67921833333,8,1347.21,"$1,347.21",0.5,1,0,0,0,qui,Q4
EC,11804494,ECECB509,1,6,2.0,-2.2843639,-79.8833469,3,480.13,$480.13,0.25,0,1,0,0,sex,Q2
EC,11804503,ECECB460,1,5,1.0,-1.8005891,-79.5320668,5,644.0,$644.00,0.25,1,0,0,0,qui,Q3
EC,11804538,ECECB463,2,5,1.0,-1.8062062,-79.5296525,4,345.13,$345.13,0.5,1,0,0,0,qui,Q1
EC,11804563,ECECB518,2,6,1.0,-2.06682585,-79.9441361,5,337.64,$337.64,0.5,1,0,0,0,sex,Q1
EC,11804583,ECECB511,2,4,1.0,-2.25102715,-79.8931603,5,1020.71,"$1,020.71",0.5,1,0,0,0,qua,Q3
EC,11804593,ECECB511,2,2,2.0,-2.24099065,-79.8873175,6,697.97,$697.97,0.5,0,1,0,0,seg,Q3
EC,11804669,ECECB463,2,4,1.0,-1.8171847,-79.5077425,6,333.43,$333.43,0.5,1,0,0,0,qua,Q1
EC,11804780,ECECB026,4,6,CMPL,-1.79646986667,-79.53575653333,4,31811.9,"$31,811.90",1.0,1,1,1,1,sex,Q4
EC,11804898,ECECB297,2,3,1.0,-2.20548426667,-79.1356972,4,829.66,$829.66,0.5,1,0,0,0,ter,Q3
EC,11804936,ECECB237,2,4,2.0,-2.09866975,-79.9346657,5,394.4,$394.40,0.5,0,1,0,0,qua,Q2
EC,11805103,ECECB253,4,3,CMPL,-2.256760475,-79.89113955,8,588.56,$588.56,1.0,1,1,1,1,ter,Q2
EC,11805117,ECECB465,2,4,2.0,-1.96146665,-79.3966054,9,271.55,$271.55,0.5,0,1,0,0,qua,Q1
EC,11805136,ECECB235,4,2,CMPL,-2.25688633333,-79.89181506667,6,1216.91,"$1,216.91",1.0,1,1,1,1,seg,Q4
EC,11805141,ECECB093,2,3,1.0,-1.7619048,-79.5569235,5,1521.93,"$1,521.93",0.5,1,0,0,0,ter,Q4
EC,11805151,ECECB093,2,7,1.0,-1.79118463333,-79.63255606667,8,2623.85,"$2,623.85",0.5,1,0,0,0,sab,Q4
EC,11805264,ECECB584,2,3,2.0,-1.6817648,-79.4949277,6,2599.62,"$2,599.62",0.5,0,1,0,0,ter,Q4
EC,11805276,ECECB584,4,6,CMPL,-1.708034975,-79.392122925,8,1846.95,"$1,846.95",1.0,1,1,1,1,sex,Q4
EC,11805368,ECECB460,2,6,2.0,-1.8057599,-79.53958255,3,531.76,$531.76,0.5,0,1,0,0,sex,Q2
EC,11805457,ECECB238,2,5,1.0,-2.224361,-79.8885968,4,317.71,$317.71,0.5,1,0,0,0,qui,Q1
EC,11805602,ECECB465,2,3,2.0,-1.95627075,-79.23487815,5,1174.42,"$1,174.42",0.5,0,1,0,0,ter,Q4
EC,11805667,ECECB465,2,3,1.0,-1.9932128,-79.3561858,4,2954.94,"$2,954.94",0.5,1,0,0,0,ter,Q4
EC,11805704,ECECB506,2,3,2.0,-2.1492302,-79.9237632,5,413.44,$413.44,0.5,0,1,0,0,ter,Q2
EC,11805937,ECECB505,1,3,2.0,-2.1097531,-79.9007771,3,279.89,$279.89,0.25,0,1,0,0,ter,Q1
EC,11806026,ECECB512,2,6,1.0,-2.26613036667,-79.88776766667,6,397.77,$397.77,0.5,1,0,0,0,sex,Q2
EC,11806188,ECECB512,4,3,CMPL,-2.263988325,-79.895649825,10,243.2,$243.20,1.0,1,1,1,1,ter,Q1
EC,11806283,ECECB584,4,4,CMPL,-1.776091925,-79.60144915,7,1769.28,"$1,769.28",1.0,1,1,1,1,qua,Q4
EC,11806527,ECECB460,2,6,1.0,-1.80745305,-79.5407417,3,235.66,$235.66,0.5,1,0,0,0,sex,Q1
EC,11806554,ECECB511,2,2,1.0,-2.2399951,-79.88742775,4,407.39,$407.39,0.5,1,0,0,0,seg,Q2
EC,11806920,ECECB511,1,4,2.0,-2.2497276,-79.8911191,3,795.95,$795.95,0.25,0,1,0,0,qua,Q3
EC,11807005,ECECB581,2,2,2.0,-2.8964257,-79.6354078,5,384.37,$384.37,0.5,0,1,0,0,seg,Q2
EC,11807114,ECECBA94,1,4,3.0,-3.7602508,-79.8249128,2,809.04,$809.04,0.25,0,0,1,0,qua,Q3
EC,11807355,ECECBA38,2,4,1.0,-1.3670197,-79.9072558,1,322.44,$322.44,0.5,1,0,0,0,qua,Q1
EC,11807403,ECECBA38,4,5,CMPL,-1.36230835,-79.9060731,10,1490.78,"$1,490.78",1.0,1,1,1,1,qui,Q4
EC,11807463,ECECB471,2,6,1.0,-2.16793945,-79.8867595,8,3325.28,"$3,325.28",0.5,1,0,0,0,sex,Q4
EC,11807466,ECECB509,2,3,2.0,-2.27353605,-79.88109615,11,609.12,$609.12,0.5,0,1,0,0,ter,Q3
EC,11807542,ECECBA38,2,3,2.0,-1.36638725,-79.9013912,5,2304.48,"$2,304.48",0.5,0,1,0,0,ter,Q4
EC,11807739,ECECB252,4,2,CMPL,-2.20344682,-79.92593484,13,1388.26,"$1,388.26",1.0,1,1,1,1,seg,Q4
EC,11807744,ECECB252,2,3,2.0,-2.2042981,-79.92262945,6,422.48,$422.48,0.5,0,1,0,0,ter,Q2
EC,11807767,ECECB252,4,2,CMPL,-2.20273665,-79.924851525,6,907.92,$907.92,1.0,1,1,1,1,seg,Q3
EC,11807832,ECECB219,2,3,2.0,-2.12036406667,-79.9879626,5,418.79,$418.79,0.5,0,1,0,0,ter,Q2
EC,11807835,ECECB518,2,3,2.0,-2.0851199,-79.92151283333,5,347.13,$347.13,0.5,0,1,0,0,ter,Q1
EC,11807873,ECECB238,2,6,2.0,-2.2107547,-79.88910245,6,393.08,$393.08,0.5,0,1,0,0,sex,Q2
EC,11807874,ECECB255,4,3,CMPL,-2.262387125,-79.877223275,9,1238.05,"$1,238.05",1.0,1,1,1,1,ter,Q4
EC,11807915,ECECB255,2,3,1.0,-2.2628266,-79.87555975,6,459.22,$459.22,0.5,1,0,0,0,ter,Q2
EC,11808072,ECECB133,2,4,1.0,-1.8554537,-79.98039143333,4,519.19,$519.19,0.5,1,0,0,0,qua,Q2
EC,11808087,ECECBA87,2,4,2.0,-1.87265445,-79.98550325,8,714.03,$714.03,0.5,0,1,0,0,qua,Q3
EC,11808138,ECECB133,2,4,1.0,-1.85274646667,-79.9779851,4,238.28,$238.28,0.5,1,0,0,0,qua,Q1
EC,11808198,ECECB133,1,6,1.0,-1.8691982,-79.9844628,4,326.07,$326.07,0.25,1,0,0,0,sex,Q1
EC,11808211,ECECB133,2,3,2.0,-1.77754425,-80.0131226,4,415.12,$415.12,0.5,0,1,0,0,ter,Q2
EC,11808311,ECECBA87,1,5,1.0,-1.8710741,-79.9782177,4,394.38,$394.38,0.25,1,0,0,0,qui,Q2
EC,11808563,ECECBA87,2,4,2.0,-1.87102225,-79.98675795,5,1051.12,"$1,051.12",0.5,0,1,0,0,qua,Q3
EC,11808832,ECECB307,1,3,3.0,-2.1924584,-79.8237381,2,598.25,$598.25,0.25,0,0,1,0,ter,Q2
EC,11808913,ECECB514,2,5,1.0,-2.18284486667,-79.85613763333,5,558.78,$558.78,0.5,1,0,0,0,qui,Q2
EC,11808957,ECECB197,2,5,1.0,-2.16417745,-79.8360801,2,249.62,$249.62,0.5,1,0,0,0,qui,Q1
EC,11809066,ECECB513,2,5,1.0,-2.1559601,-79.8259735,9,782.27,$782.27,0.5,1,0,0,0,qui,Q3
EC,11809087,ECECB513,4,4,CMPL,-2.156196725,-79.8214589,6,776.22,$776.22,1.0,1,1,1,1,qua,Q3
EC,11809103,ECECB197,1,3,2.0,-2.1505901,-79.8313561,6,359.3,$359.30,0.25,0,1,0,0,ter,Q1
EC,11809117,ECECB307,1,6,3.0,-2.1488893,-79.8327103,3,716.14,$716.14,0.25,0,0,1,0,sex,Q3
EC,11809158,ECECB514,2,4,1.0,-2.17442826667,-79.84745706667,6,1305.85,"$1,305.85",0.5,1,0,0,0,qua,Q4
EC,11809229,ECECB513,2,3,2.0,-2.16985395,-79.82546525,7,331.43,$331.43,0.5,0,1,0,0,ter,Q1
EC,11809390,ECECB515,4,2,CMPL,-2.17770672,-79.80959868,4,251.69,$251.69,1.0,1,1,1,1,seg,Q1
EC,11809581,ECECB197,2,2,2.0,-2.1577663,-79.831475,10,1634.35,"$1,634.35",0.5,0,1,0,0,seg,Q4
EC,11809604,ECECB513,2,5,1.0,-2.16008395,-79.82871055,6,357.86,$357.86,0.5,1,0,0,0,qui,Q1
EC,11809815,ECECB514,2,6,1.0,-2.1866358,-79.8537365,1,358.2,$358.20,0.5,1,0,0,0,sex,Q1
EC,11809880,ECECB197,4,2,CMPL,-2.15270832,-79.84106888,5,875.3,$875.30,1.0,1,1,1,1,seg,Q3
EC,11809902,ECECB513,2,4,1.0,-2.16024136667,-79.82132,9,1263.59,"$1,263.59",0.5,1,0,0,0,qua,Q4
EC,11809915,ECECB513,2,2,1.0,-2.16439476667,-79.8338876,5,389.96,$389.96,0.5,1,0,0,0,seg,Q2
EC,11810008,ECECB276,2,3,1.0,-2.72104295,-78.88841175,5,282.68,$282.68,0.5,1,0,0,0,ter,Q1
EC,11810074,ECECB100,4,2,CMPL,-2.712867025,-78.890235175,7,309.31,$309.31,1.0,1,1,1,1,seg,Q1
EC,11810131,ECECB428,2,4,2.0,-0.8841015,-80.09826873333,10,132692.21,"$132,692.21",0.5,0,1,0,0,qua,Q4
EC,11810153,ECECB436,4,4,CMPL,-0.84814845,-80.163132225,12,3410.3,"$3,410.30",1.0,1,1,1,1,qua,Q4
EC,11810184,ECECB436,4,4,CMPL,-0.91642925,-80.08833465,5,540.73,$540.73,1.0,1,1,1,1,qua,Q2
EC,11810250,ECECB462,4,4,CMPL,-1.629294975,-79.2561994,6,440.06,$440.06,1.0,1,1,1,1,qua,Q2
EC,11810288,ECECB462,2,4,2.0,-1.6242473,-79.255242,8,1190.15,"$1,190.15",0.5,0,1,0,0,qua,Q4
EC,11810377,ECECB272,2,7,2.0,-4.40138005,-79.46827205,7,3634.63,"$3,634.63",0.5,0,1,0,0,sab,Q4
EC,11810399,ECECB272,2,4,1.0,-4.3328168,-79.5605918,2,367.47,$367.47,0.5,1,0,0,0,qua,Q2
EC,11810402,ECECB272,2,7,2.0,-4.40072835,-79.4685357,6,2690.95,"$2,690.95",0.5,0,1,0,0,sab,Q4
EC,11811041,ECECB558,2,6,2.0,-3.9811285,-79.3450843,6,475.16,$475.16,0.5,0,1,0,0,sex,Q2
EC,11811066,ECECB339,1,4,3.0,-3.8521212,-79.4255908,3,630.83,$630.83,0.25,0,0,1,0,qua,Q3
EC,11811093,ECECB339,2,6,1.0,-3.9757376,-79.37203795,3,351.54,$351.54,0.5,1,0,0,0,sex,Q1
EC,11811151,ECECB558,2,5,1.0,-3.98668335,-79.3566221,6,2163.53,"$2,163.53",0.5,1,0,0,0,qui,Q4
EC,11811340,ECECBA19,2,2,2.0,-4.10225145,-79.95628465,13,3390.75,"$3,390.75",0.5,0,1,0,0,seg,Q4
EC,11811497,ECECB339,2,2,1.0,-3.87834423333,-79.6452312,6,1988.56,"$1,988.56",0.5,1,0,0,0,seg,Q4
EC,11811674,ECECB604,2,3,1.0,-0.69895725,-80.09501215,6,912.58,$912.58,0.5,1,0,0,0,ter,Q3
EC,11811691,ECECBA51,2,4,2.0,-0.69820845,-80.0978732,2,717.27,$717.27,0.5,0,1,0,0,qua,Q3
EC,11811721,ECECB604,1,6,1.0,-0.6891893,-80.0950598,5,1819.03,"$1,819.03",0.25,1,0,0,0,sex,Q4
EC,11811805,ECECBA51,2,3,1.0,-0.72460085,-80.1003438,1,234.02,$234.02,0.5,1,0,0,0,ter,Q1
EC,11811821,ECECB604,2,7,1.0,-0.6944385,-80.09001533333,3,429.58,$429.58,0.5,1,0,0,0,sab,Q2
EC,11812110,ECECB436,4,4,CMPL,-0.83084385,-80.153749575,9,1207.69,"$1,207.69",1.0,1,1,1,1,qua,Q4
EC,11812257,ECECB604,2,3,2.0,-0.7055588,-80.09445495,10,540.47,$540.47,0.5,0,1,0,0,ter,Q2
EC,11812331,ECECB511,2,5,1.0,-2.2414382,-79.8988572,4,430.05,$430.05,0.5,1,0,0,0,qui,Q2
EC,11812343,ECECB523,2,3,1.0,-2.21368535,-79.9269875,5,618.59,$618.59,0.5,1,0,0,0,ter,Q3
EC,11812403,ECECBA51,4,2,CMPL,-0.8053181,-80.0151461,6,12091.49,"$12,091.49",1.0,1,1,1,1,seg,Q4
EC,11812445,ECECB308,4,3,CMPL,-2.219396275,-79.9120864,7,418.99,$418.99,1.0,1,1,1,1,ter,Q2
EC,11812494,ECECB523,2,3,2.0,-2.21295925,-79.9261797,8,548.26,$548.26,0.5,0,1,0,0,ter,Q2
EC,11812558,ECECB185,2,4,1.0,-2.8874652,-79.01274493333,7,276.75,$276.75,0.5,1,0,0,0,qua,Q1
EC,11812912,ECECB519,4,4,CMPL,-2.08097443333,-79.92718773333,5,909.6,$909.60,1.0,1,1,1,1,qua,Q3
EC,11812985,ECECB518,4,3,CMPL,-2.0685362,-79.9355294,5,403.56,$403.56,1.0,1,1,1,1,ter,Q2
EC,11813141,ECECB219,2,6,1.0,-2.1281832,-80.01190885,6,535.79,$535.79,0.5,1,0,0,0,sex,Q2
EC,11813175,ECECB277,4,7,CMPL,-2.9073345,-78.9934719,4,407.09,$407.09,1.0,1,1,1,1,sab,Q2
EC,11813222,ECECBA81,4,2,CMPL,-0.18629896667,-80.28818716667,5,790.44,$790.44,1.0,1,1,1,1,seg,Q3
EC,11813385,ECECB502,2,3,2.0,-2.07916246667,-80.0080355,7,528.66,$528.66,0.5,0,1,0,0,ter,Q2
EC,11813391,ECECB221,2,5,1.0,-2.1321981,-79.9567429,11,2677.72,"$2,677.72",0.5,1,0,0,0,qui,Q4
EC,11813405,ECECB255,2,3,1.0,-2.26485645,-79.87792625,12,539.55,$539.55,0.5,1,0,0,0,ter,Q2
EC,11813502,ECECB225,2,4,1.0,-2.1950209,-79.9288445,3,251.3,$251.30,0.5,1,0,0,0,qua,Q1
EC,11813743,ECECBA07,1,6,1.0,-2.9953826,-79.7905366,9,595.88,$595.88,0.25,1,0,0,0,sex,Q2
EC,11813806,ECECB550,2,6,2.0,-2.9078259,-79.02882505,2,253.57,$253.57,0.5,0,1,0,0,sex,Q1
EC,11813984,ECECB282,4,5,CMPL,-2.89528455,-79.0264571,11,32897.82,"$32,897.82",1.0,1,1,1,1,qui,Q4
EC,11814071,ECECB235,1,2,1.0,-2.2493561,-79.8822241,10,352.35,$352.35,0.25,1,0,0,0,seg,Q1
EC,11814076,ECECBA55,4,5,CMPL,-2.109649575,-79.9686437,8,758.77,$758.77,1.0,1,1,1,1,qui,Q3
EC,11814131,ECECB280,2,4,2.0,-2.89921493333,-79.0073478,11,3942.97,"$3,942.97",0.5,0,1,0,0,qua,Q4
EC,11814248,ECECB281,1,6,3.0,-2.9234259,-78.777104,5,321.83,$321.83,0.25,0,0,1,0,sex,Q1
EC,11814258,ECECB232,2,6,1.0,-2.13193905,-79.88533345,4,554.39,$554.39,0.5,1,0,0,0,sex,Q2
EC,11814300,ECECB205,4,5,CMPL,-2.2078327,-79.90440415,5,399.17,$399.17,1.0,1,1,1,1,qui,Q2
EC,11814381,ECECB510,2,4,2.0,-2.2555907,-79.90220045,3,308.19,$308.19,0.5,0,1,0,0,qua,Q1
EC,11814492,ECECB520,1,3,2.0,-2.137516,-79.9440069,3,226.84,$226.84,0.25,0,1,0,0,ter,Q1
EC,11814637,ECECB224,4,3,CMPL,-2.157229775,-79.921927025,3,273.38,$273.38,1.0,1,1,1,1,ter,Q1
EC,11814710,ECECBA89,4,7,CMPL,-2.861036625,-78.974757375,6,474.83,$474.83,1.0,1,1,1,1,sab,Q2
EC,11814746,ECECB502,2,2,2.0,-2.0835483,-79.9691823,3,371.01,$371.01,0.5,0,1,0,0,seg,Q2
EC,11814833,ECECB234,1,3,2.0,-2.1161761,-79.9157632,5,308.56,$308.56,0.25,0,1,0,0,ter,Q1
EC,11814846,ECECB277,1,6,2.0,-2.9087806,-79.0132114,4,287.08,$287.08,0.25,0,1,0,0,sex,Q1
EC,11814962,ECECB277,2,4,1.0,-2.90606386667,-78.98618173333,1,462.69,$462.69,0.5,1,0,0,0,qua,Q2
EC,11814985,ECECBA37,1,6,1.0,-2.221332,-79.4430636,10,3799.27,"$3,799.27",0.25,1,0,0,0,sex,Q4
EC,11815020,ECECBA37,1,6,1.0,-2.2199301,-79.4424208,15,6523.04,"$6,523.04",0.25,1,0,0,0,sex,Q4
EC,11815021,ECECB215,4,2,CMPL,-2.123465675,-79.9462999,9,1469.96,"$1,469.96",1.0,1,1,1,1,seg,Q4
EC,11815059,ECECB253,4,2,CMPL,-2.2512818,-79.89625462857,6,2142.3,"$2,142.30",1.0,1,1,1,1,seg,Q4
EC,11815125,ECECB273,2,3,2.0,-2.89930763333,-78.9772966,5,494.58,$494.58,0.5,0,1,0,0,ter,Q2
EC,11815305,ECECB277,1,3,2.0,-2.9160163,-79.0066323,4,314.54,$314.54,0.25,0,1,0,0,ter,Q1
EC,11815306,ECECB285,2,2,1.0,-2.91771253333,-79.05213153333,6,1003.53,"$1,003.53",0.5,1,0,0,0,seg,Q3
EC,11815340,ECECB221,2,4,1.0,-2.1274429,-79.9551585,8,1483.91,"$1,483.91",0.5,1,0,0,0,qua,Q4
EC,11815507,ECECB549,1,5,2.0,-2.8942686,-78.9803442,7,242.08,$242.08,0.25,0,1,0,0,qui,Q1
EC,11815537,ECECB237,2,4,2.0,-2.09735355,-79.93443655,5,737.76,$737.76,0.5,0,1,0,0,qua,Q3
EC,11815549,ECECB553,2,4,1.0,-2.88910225,-78.99457305,6,384.41,$384.41,0.5,1,0,0,0,qua,Q2
EC,11815563,ECECB553,2,5,1.0,-2.89106355,-78.99771165,8,1205.35,"$1,205.35",0.5,1,0,0,0,qui,Q4
EC,11815680,ECECB553,2,2,2.0,-2.89183205,-78.9939664,2,714.07,$714.07,0.5,0,1,0,0,seg,Q3
EC,11815737,ECECB502,2,4,2.0,-2.0890474,-79.9656749,1,411.42,$411.42,0.5,0,1,0,0,qua,Q2
EC,11815792,ECECB549,2,4,2.0,-2.89904375,-78.98681125,5,283.07,$283.07,0.5,0,1,0,0,qua,Q1
EC,11815995,ECECB255,2,2,1.0,-2.25663216667,-79.87269393333,4,256.55,$256.55,0.5,1,0,0,0,seg,Q1
EC,11816099,ECECB486,2,6,1.0,-2.80582465,-78.978164,5,585.58,$585.58,0.5,1,0,0,0,sex,Q2
EC,11816115,ECECB277,1,5,2.0,-2.9143718,-78.9899086,2,311.03,$311.03,0.25,0,1,0,0,qui,Q1
EC,11816116,ECECB089,1,3,4.0,-2.8882787,-78.9412042,6,352.77,$352.77,0.25,0,0,0,1,ter,Q1
EC,11816117,ECECB221,1,4,2.0,-2.1230394,-79.9526288,5,346.53,$346.53,0.25,0,1,0,0,qua,Q1
EC,11816194,ECECB279,2,6,2.0,-2.90439335,-78.97852675,5,669.09,$669.09,0.5,0,1,0,0,sex,Q3
EC,11816281,ECECB510,1,2,2.0,-2.2491682,-79.905156,8,737.05,$737.05,0.25,0,1,0,0,seg,Q3
EC,11816295,ECECB185,2,5,1.0,-2.8793523,-78.98809423333,2,449.85,$449.85,0.5,1,0,0,0,qui,Q2
EC,11816338,ECECB285,2,4,2.0,-2.9071672,-79.0426737,1,341.88,$341.88,0.5,0,1,0,0,qua,Q1
EC,11816355,ECECB279,2,3,2.0,-2.9408667,-78.9208885,4,317.47,$317.47,0.5,0,1,0,0,ter,Q1
EC,11816369,ECECB279,2,3,1.0,-2.94279103333,-78.96113263333,7,2915.24,"$2,915.24",0.5,1,0,0,0,ter,Q4
EC,11816375,ECECB279,2,4,2.0,-2.9378449,-78.9667381,4,485.97,$485.97,0.5,0,1,0,0,qua,Q2
EC,11816841,ECECB285,2,3,2.0,-2.88819966667,-79.0639025,4,985.59,$985.59,0.5,0,1,0,0,ter,Q3
EC,11817336,ECECB209,4,2,CMPL,-2.12548345,-79.94334395,1,20678.73,"$20,678.73",1.0,1,1,1,1,seg,Q4
EC,11817350,ECECB518,4,3,CMPL,-2.06949856667,-79.93102183333,3,261.59,$261.59,1.0,1,1,1,1,ter,Q1
EC,11817360,ECECB251,2,5,1.0,-2.2251502,-79.92557025,11,784.31,$784.31,0.5,1,0,0,0,qui,Q3
EC,11817975,ECECBA89,2,3,1.0,-2.88050333333,-78.9615687,9,674.81,$674.81,0.5,1,0,0,0,ter,Q3
EC,11818012,ECECB204,1,4,2.0,-2.0989506,-79.964677,4,1233.14,"$1,233.14",0.25,0,1,0,0,qua,Q4
EC,11818060,ECECB235,2,2,2.0,-2.2505333,-79.88502785,4,238.44,$238.44,0.5,0,1,0,0,seg,Q1
EC,11818079,ECECB486,2,7,1.0,-2.86084635,-78.99146085,6,445.55,$445.55,0.5,1,0,0,0,sab,Q2
EC,11818274,ECECBA89,4,5,CMPL,-2.86690085,-78.9700306,6,382.38,$382.38,1.0,1,1,1,1,qui,Q2
EC,11818308,ECECB277,2,6,1.0,-2.91176745,-79.00751365,8,3436.44,"$3,436.44",0.5,1,0,0,0,sex,Q4
EC,11818318,ECECB252,4,3,CMPL,-2.20961393333,-79.93168516667,8,704.7,$704.70,1.0,1,1,1,1,ter,Q3
EC,11818399,ECECBA92,2,3,2.0,-2.8624999,-79.0726087,6,527.9,$527.90,0.5,0,1,0,0,ter,Q2
EC,11818475,ECECBA89,4,5,CMPL,-2.8652898,-78.978091925,5,736.62,$736.62,1.0,1,1,1,1,qui,Q3
EC,11818508,ECECB215,2,5,1.0,-2.12898485,-79.94621785,3,486.14,$486.14,0.5,1,0,0,0,qui,Q2
EC,11818662,ECECB279,2,2,2.0,-2.91728425,-78.9372108,6,726.28,$726.28,0.5,0,1,0,0,seg,Q3
EC,11818877,ECECB089,1,5,4.0,-2.8241523,-78.958255,4,297.84,$297.84,0.25,0,0,0,1,qui,Q1
EC,11819009,ECECB096,4,3,CMPL,-2.898057675,-79.0628849,3,1061.69,"$1,061.69",1.0,1,1,1,1,ter,Q3
EC,11819100,ECECBA92,2,4,1.0,-2.88568825,-79.036913,4,225.02,$225.02,0.5,1,0,0,0,qua,Q1
EC,11819143,ECECB550,4,5,CMPL,-2.9029531,-79.036342375,5,1288.44,"$1,288.44",1.0,1,1,1,1,qui,Q4
EC,11819428,ECECB240,1,6,1.0,-2.191084,-79.9598272,18,1149.13,"$1,149.13",0.25,1,0,0,0,sex,Q4
EC,11819549,ECECB285,1,4,3.0,-2.9075958,-79.060134,3,295.48,$295.48,0.25,0,0,1,0,qua,Q1
EC,11819717,ECECB514,2,2,2.0,-2.0902592,-79.8958036,6,1407.03,"$1,407.03",0.5,0,1,0,0,seg,Q4
EC,11819808,ECECB280,4,3,CMPL,-2.88937475,-79.0089527,6,1230.68,"$1,230.68",1.0,1,1,1,1,ter,Q4
EC,11819911,ECECB185,2,5,2.0,-2.86865145,-79.0041383,4,358.89,$358.89,0.5,0,1,0,0,qui,Q1
EC,11819917,ECECB256,2,5,1.0,-2.2179287,-79.9465644,7,841.81,$841.81,0.5,1,0,0,0,qui,Q3
EC,11820059,ECECB551,2,7,1.0,-2.9091163,-79.03938293333,2,249.43,$249.43,0.5,1,0,0,0,sab,Q1
EC,11820215,ECECB549,2,2,1.0,-2.8873779,-78.97397865,3,253.95,$253.95,0.5,1,0,0,0,seg,Q1
EC,11820296,ECECB203,2,5,1.0,-2.20262185,-79.8838637,7,367.55,$367.55,0.5,1,0,0,0,qui,Q2
EC,11820349,ECECB521,2,3,1.0,-2.226229,-79.9452324,5,891.88,$891.88,0.5,1,0,0,0,ter,Q3
EC,11820487,ECECB256,4,2,CMPL,-2.212455225,-79.94416145,4,884.51,$884.51,1.0,1,1,1,1,seg,Q3
EC,11820499,ECECB503,4,2,CMPL,-2.1205242,-79.9082701,6,2252.19,"$2,252.19",1.0,1,1,1,1,seg,Q4
EC,11820599,ECECB176,2,4,1.0,-2.20160475,-79.903045,3,725.24,$725.24,0.5,1,0,0,0,qua,Q3
EC,11820610,ECECB003,4,5,CMPL,-2.09301943333,-79.92617503333,7,1826.62,"$1,826.62",1.0,1,1,1,1,qui,Q4
